"topic","term","beta"
1,"great",9.79901332843977e-06
2,"great",8.80706538013056e-07
3,"great",0.000160692914951721
4,"great",9.4946105138138e-06
5,"great",8.38298856895678e-07
6,"great",0.037861544390142
1,"music",8.90819393494524e-07
2,"music",8.80706538013056e-07
3,"music",8.87806159954261e-07
4,"music",8.63146410346709e-07
5,"music",8.38298856895678e-07
6,"music",0.121821236534936
1,"service",8.90819393494524e-07
2,"service",0.0113708021122866
3,"service",8.87806159954261e-07
4,"service",8.63146410346709e-07
5,"service",8.38298856895678e-07
6,"service",9.00372033724334e-07
1,"audio",8.90819393494524e-07
2,"audio",1.84948372982742e-05
3,"audio",8.87806159954261e-07
4,"audio",0.00631046340604479
5,"audio",8.38298856895678e-07
6,"audio",9.00372033724334e-07
1,"high",8.90819393494524e-07
2,"high",8.80706538013056e-07
3,"high",8.87806159954261e-07
4,"high",8.63146410346709e-07
5,"high",6.790220740855e-05
6,"high",0.00127042493958504
1,"quality",8.90819393494524e-07
2,"quality",8.80706538013056e-07
3,"quality",9.76586775949687e-06
4,"quality",8.63146410346709e-07
5,"quality",8.38298856895678e-07
6,"quality",0.00772609242138852
1,"app",0.100868370744778
2,"app",8.80706538013056e-07
3,"app",8.87806159954261e-07
4,"app",0.0807223154420346
5,"app",8.38298856895678e-07
6,"app",0.0307756164847315
1,"easy",9.79901332843977e-06
2,"easy",8.80706538013056e-07
3,"easy",8.87806159954261e-07
4,"easy",9.4946105138138e-06
5,"easy",8.38298856895678e-07
6,"easy",0.01784627408045
1,"use",8.90819393494524e-07
2,"use",0.0074340438873682
3,"use",6.30342373567525e-05
4,"use",8.63146410346709e-07
5,"use",4.27532417016796e-05
6,"use",0.0309466871711391
1,"also",9.88809526778921e-05
2,"also",8.80706538013056e-07
3,"also",0.0159281303157394
4,"also",0.00107979615934373
5,"also",8.46681845464636e-05
6,"also",0.00870749793814804
1,"quick",9.79901332843977e-06
2,"quick",8.80706538013056e-07
3,"quick",0.000844303658116501
4,"quick",8.63146410346709e-07
5,"quick",8.38298856895678e-07
6,"quick",9.00372033724334e-07
1,"friendly",8.90819393494524e-07
2,"friendly",8.80706538013056e-07
3,"friendly",9.76586775949687e-06
4,"friendly",8.63146410346709e-07
5,"friendly",1.76042759948093e-05
6,"friendly",0.00190068536319207
1,"support",8.90819393494524e-07
2,"support",0.00442202752736355
3,"support",8.87806159954261e-07
4,"support",8.63146410346709e-07
5,"support",8.38298856895678e-07
6,"support",9.00372033724334e-07
1,"please",0.0361414336134663
2,"please",8.80706538013056e-07
3,"please",0.00119942612209821
4,"please",8.63146410346709e-07
5,"please",8.38298856895678e-07
6,"please",9.00372033724334e-07
1,"ignore",0.000134513728417673
2,"ignore",8.80706538013056e-07
3,"ignore",4.52781141576672e-05
4,"ignore",8.63146410346709e-07
5,"ignore",8.38298856895678e-07
6,"ignore",9.00372033724334e-07
1,"previous",8.90819393494524e-07
2,"previous",8.80706538013056e-07
3,"previous",0.00166108532527442
4,"previous",0.000725906131101582
5,"previous",8.38298856895678e-07
6,"previous",1.8907812708211e-05
1,"negative",8.90819393494524e-07
2,"negative",0.000476462237065063
3,"negative",8.87806159954261e-07
4,"negative",8.63146410346709e-07
5,"negative",8.38298856895678e-07
6,"negative",9.00372033724334e-07
1,"rating",6.32481769381112e-05
2,"rating",8.80706538013056e-07
3,"rating",0.00264655016282365
4,"rating",8.63146410346709e-07
5,"rating",8.38298856895678e-07
6,"rating",9.00372033724334e-07
1,"super",2.76154011983302e-05
2,"super",8.80706538013056e-07
3,"super",9.76586775949687e-06
4,"super",0.00213283477996672
5,"super",8.38298856895678e-07
6,"super",0.00167559235476099
1,"give",8.90819393494524e-07
2,"give",8.80706538013056e-07
3,"give",0.00997982904404584
4,"give",9.4946105138138e-06
5,"give",8.38298856895678e-07
6,"give",9.00372033724334e-07
1,"five",8.90819393494524e-07
2,"five",9.68777191814362e-06
3,"five",0.0144721282134144
4,"five",8.63146410346709e-07
5,"five",8.38298856895678e-07
6,"five",1.8907812708211e-05
1,"stars",8.90819393494524e-07
2,"stars",8.80706538013056e-07
3,"stars",0.0100064632288445
4,"stars",8.63146410346709e-07
5,"stars",8.38298856895678e-07
6,"stars",9.00372033724334e-07
1,"pop-up",8.90819393494524e-07
2,"pop-up",8.80706538013056e-07
3,"pop-up",8.87806159954261e-07
4,"pop-up",0.000259807069514359
5,"pop-up",8.38298856895678e-07
6,"pop-up",9.00372033724334e-07
1,"get",8.90819393494524e-07
2,"get",0.0224060550335901
3,"get",0.00918968156168655
4,"get",8.63146410346709e-07
5,"get",9.22128742585246e-06
6,"get",9.00372033724334e-07
1,"best",1.8707207263385e-05
2,"best",8.80706538013056e-07
3,"best",8.87806159954261e-07
4,"best",8.63146410346709e-07
5,"best",8.38298856895678e-07
6,"best",0.0102291266751422
1,"spotify",8.90819393494524e-07
2,"spotify",0.0777056185554299
3,"spotify",8.87806159954261e-07
4,"spotify",1.81260746172809e-05
5,"spotify",8.38298856895678e-07
6,"spotify",0.0235366253335878
1,"experience",8.90819393494524e-07
2,"experience",8.80706538013056e-07
3,"experience",8.87806159954261e-07
4,"experience",8.63146410346709e-07
5,"experience",9.22128742585246e-06
6,"experience",0.0102651415564911
1,"android",8.90819393494524e-07
2,"android",8.80706538013056e-07
3,"android",8.87806159954261e-07
4,"android",0.0104794605680194
5,"android",8.38298856895678e-07
6,"android",9.00372033724334e-07
1,"annoying",8.90819393494524e-07
2,"annoying",8.80706538013056e-07
3,"annoying",4.52781141576672e-05
4,"annoying",0.00643130390349333
5,"annoying",0.011032851255604
6,"annoying",9.00372033724334e-07
1,"let",8.90819393494524e-07
2,"let",0.00475669601180851
3,"let",8.87806159954261e-07
4,"let",8.63146410346709e-07
5,"let",0.00876106135341674
6,"let",9.00372033724334e-07
1,"us",8.90819393494524e-07
2,"us",9.68777191814362e-06
3,"us",0.00458196759152394
4,"us",8.63146410346709e-07
5,"us",8.38298856895678e-07
6,"us",9.00372033724334e-07
1,"rid",8.90819393494524e-07
2,"rid",8.80706538013056e-07
3,"rid",0.00178537818766802
4,"rid",8.63146410346709e-07
5,"rid",4.27532417016796e-05
6,"rid",9.90409237096768e-06
1,"really",9.79901332843977e-06
2,"really",8.80706538013056e-07
3,"really",0.0136997368542542
4,"really",8.63146410346709e-07
5,"really",8.38298856895678e-07
6,"really",0.0146049347590424
1,"buggy",8.90819393494524e-07
2,"buggy",8.80706538013056e-07
3,"buggy",8.87806159954261e-07
4,"buggy",0.00685424564456322
5,"buggy",9.22128742585246e-06
6,"buggy",9.00372033724334e-07
1,"terrible",0.00040175954646603
2,"terrible",9.68777191814362e-06
3,"terrible",0.000906450089313299
4,"terrible",0.00346208025190065
5,"terrible",8.38298856895678e-07
6,"terrible",9.00372033724334e-07
1,"recently",8.90819393494524e-07
2,"recently",8.80706538013056e-07
3,"recently",0.000249473530947147
4,"recently",0.00877043067553291
5,"recently",8.38298856895678e-07
6,"recently",9.00372033724334e-07
1,"dear",8.90819393494524e-07
2,"dear",8.80706538013056e-07
3,"dear",0.000311619962143945
4,"dear",8.63146410346709e-07
5,"dear",8.38298856895678e-07
6,"dear",9.00372033724334e-07
1,"songs",1.8707207263385e-05
2,"songs",8.80706538013056e-07
3,"songs",0.000134058730153093
4,"songs",8.63146410346709e-07
5,"songs",0.115560335721926
