"topic","term","beta"
1,"app",0.100868370744778
1,"fix",0.0409607665322717
1,"please",0.0361414336134663
1,"even",0.0310904876523524
1,"work",0.0244360667829483
1,"still",0.0224495395354555
1,"phone",0.019447478179379
1,"problem",0.0175856656469754
1,"downloaded",0.0157594858903116
1,"offline",0.0154031581329138
2,"spotify",0.0777056185554299
2,"now",0.0457623924216964
2,"premium",0.0336790987201573
2,"time",0.0316182454212067
2,"every",0.0243259952864586
2,"get",0.0224060550335901
2,"using",0.0167166907980258
2,"used",0.0154748945794274
2,"account",0.0153692097948658
2,"two",0.0150697695719414
3,"can",0.0608955123174227
3,"like",0.0442580248798798
3,"just",0.0332758626812456
3,"one",0.0277803425511287
3,"new",0.0223114566058105
3,"go",0.0169402293380872
3,"also",0.0159281303157394
3,"make",0.0156173981597554
3,"add",0.0146585675070048
3,"five",0.0144721282134144
4,"app",0.0807223154420346
4,"playing",0.0519881714415926
4,"update",0.0428215565637106
4,"stop",0.0232885532975645
4,"pause",0.0160294919865487
4,"sometimes",0.0155288670685476
4,"keeps",0.0149850848300292
4,"randomly",0.0146225633376836
4,"last",0.0135695247170606
4,"stops",0.0134745786119225
5,"songs",0.115560335721926
5,"song",0.0998589981322702
5,"play",0.0883826867813683
5,"playlist",0.0552447329682821
5,"listen",0.0489574915415645
5,"can",0.0464090630166017
5,"want",0.0390320330759197
5,"just",0.0205978412127837
5,"even",0.0190889032703715
5,"plays",0.0163476660083226
6,"music",0.121821236534936
6,"good",0.0441551449058751
6,"great",0.037861544390142
6,"love",0.0367991053903473
6,"use",0.0309466871711391
6,"app",0.0307756164847315
6,"spotify",0.0235366253335878
6,"listening",0.0180263484871949
6,"easy",0.01784627408045
6,"find",0.0159374853689545
